Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
27,ORD-2021027,2021-12-07,2021-12-08,First Class,CUST-1027,Kismat Kothari,Bulk Buyer,India,Kanpur,Uttar Pradesh,983071,East,PROD-3027,Sports & Fitness,Football,Football - Cosco,21487.47,1,0.2,613.1
28,ORD-2021028,2022-07-13,2022-07-19,First Class,CUST-1028,Kimaya Upadhyay,Bulk Buyer,India,Mumbai,Maharashtra,304291,North,PROD-3028,Books,Children,Children - S Chand,19524.11,1,0.0,-307.17
29,ORD-2021029,2022-11-23,2022-11-25,Standard Class,CUST-1029,Nitara Sane,Bulk Buyer,India,Udaipur,Rajasthan,566764,North,PROD-3029,Electronics,Earphones,Earphones - Realme,24768.61,4,0.05,1789.95
30,ORD-2021030,2022-04-22,2022-04-25,Standard Class,CUST-1030,Kiara Soni,Bulk Buyer,India,Hyderabad,Telangana,471555,West,PROD-3030,Fashion,Saree,Saree - FabIndia,14173.07,4,0.2,-862.71
31,ORD-2021031,2021-11-01,2021-11-03,Same Day,CUST-1031,Gokul Kara,Bulk Buyer,India,New Delhi,Delhi,477377,East,PROD-3031,Sports & Fitness,Football,Football - Nivia,752.69,2,0.1,22.11
32,ORD-2021032,2021-12-10,2021-12-12,Same Day,CUST-1032,Shayak Chauhan,Prime Member,India,Udaipur,Rajasthan,397445,South,PROD-3032,Fashion,Saree,Saree - Biba,19499.75,1,0.0,2280.33
33,ORD-2021033,2021-09-11,2021-09-16,Standard Class,CUST-1033,Bhamini Chacko,Bulk Buyer,India,Mysore,Karnataka,14926,West,PROD-3033,Fashion,Saree,Saree - Peter England,29145.96,1,0.0,3044.61
34,ORD-2021034,2022-05-14,2022-05-16,Same Day,CUST-1034,Zain Kaul,Regular Buyer,India,Nagpur,Maharashtra,604822,South,PROD-3034,Electronics,Earphones,Earphones - Mi,5791.86,3,0.2,282.72
35,ORD-2021035,2021-04-06,2021-04-12,Same Day,CUST-1035,Heer Char,Regular Buyer,India,Nagpur,Maharashtra,10419,South,PROD-3035,Fashion,Saree,Saree - Biba,8387.79,1,0.05,1143.01
36,ORD-2021036,2023-03-07,2023-03-12,Second Class,CUST-1036,Miraan Chokshi,Prime Member,India,Bhopal,Madhya Pradesh,131743,West,PROD-3036,Books,Fiction,Fiction - Rupa Publications,3560.83,3,0.2,248.31
37,ORD-2021037,2023-06-10,2023-06-13,Same Day,CUST-1037,Samaira Saha,Regular Buyer,India,Lucknow,Uttar Pradesh,153641,South,PROD-3037,Electronics,Laptop,Laptop - OnePlus,6863.91,1,0.1,1179.91
38,ORD-2021038,2021-03-27,2021-03-30,Second Class,CUST-1038,Tarini Thaker,Prime Member,India,Udaipur,Rajasthan,777603,South,PROD-3038,Fashion,Saree,Saree - W for Woman,13109.3,3,0.0,645.3
39,ORD-2021039,2022-12-13,2022-12-18,First Class,CUST-1039,Sana Bhatia,Bulk Buyer,India,New Delhi,Delhi,862455,West,PROD-3039,Beauty & Personal Care,Perfume,Perfume - Lakme,16057.94,4,0.05,723.49
40,ORD-2021040,2023-05-17,2023-05-23,Standard Class,CUST-1040,Rasha Sastry,Regular Buyer,India,Hyderabad,Telangana,161836,North,PROD-3040,Electronics,Power Bank,Power Bank - Noise,22568.74,2,0.0,2990.32
41,ORD-2021041,2023-04-14,2023-04-19,Same Day,CUST-1041,Ayesha Mallick,Prime Member,India,Ahmedabad,Gujarat,226244,West,PROD-3041,Fashion,Kurtis,Kurtis - W for Woman,19712.74,1,0.1,300.01
42,ORD-2021042,2022-03-12,2022-03-17,Second Class,CUST-1042,Suhana Gala,Bulk Buyer,India,Pune,Maharashtra,603808,East,PROD-3042,Home & Kitchen,Bedsheet,Bedsheet - Borosil,20697.57,1,0.05,2216.21
43,ORD-2021043,2021-01-10,2021-01-13,First Class,CUST-1043,Uthkarsh Konda,Bulk Buyer,India,Udaipur,Rajasthan,716953,West,PROD-3043,Fashion,Saree,Saree - Biba,13571.34,4,0.0,2.59
44,ORD-2021044,2021-01-19,2021-01-23,First Class,CUST-1044,Divit Doctor,Regular Buyer,India,New Delhi,Delhi,604455,East,PROD-3044,Fashion,Saree,Saree - Max,4202.71,3,0.1,-189.58
45,ORD-2021045,2021-02-11,2021-02-14,Second Class,CUST-1045,Hrishita Lall,Bulk Buyer,India,Surat,Gujarat,966163,North,PROD-3045,Fashion,Jeans,Jeans - W for Woman,22764.2,4,0.1,-517.75
46,ORD-2021046,2022-01-05,2022-01-06,Standard Class,CUST-1046,Vidur Bala,Prime Member,India,Hubli,Karnataka,502380,North,PROD-3046,Sports & Fitness,Dumbbells,Dumbbells - Vector X,14230.78,3,0.2,289.3
47,ORD-2021047,2023-02-02,2023-02-03,First Class,CUST-1047,Dhanuk Srinivasan,Regular Buyer,India,Mysore,Karnataka,217481,South,PROD-3047,Electronics,Earphones,Earphones - OnePlus,22920.51,2,0.1,560.68
48,ORD-2021048,2021-02-17,2021-02-20,Second Class,CUST-1048,Raghav Tata,Prime Member,India,Kolkata,West Bengal,869058,South,PROD-3048,Fashion,Shoes,Shoes - Biba,11572.87,3,0.2,-78.79
49,ORD-2021049,2022-12-31,2023-01-04,Same Day,CUST-1049,Aaina Mane,Bulk Buyer,India,Kanpur,Uttar Pradesh,118473,South,PROD-3049,Books,Biography,Biography - Penguin India,11940.84,3,0.2,750.16
50,ORD-2021050,2022-08-13,2022-08-18,Standard Class,CUST-1050,Yashvi Ghose,Regular Buyer,India,Udaipur,Rajasthan,869686,West,PROD-3050,Fashion,Jeans,Jeans - W for Woman,27477.83,2,0.0,1351.73
51,ORD-2021051,2021-06-11,2021-06-14,Same Day,CUST-1051,Kiaan Madan,Bulk Buyer,India,New Delhi,Delhi,675418,South,PROD-3051,Electronics,Laptop,Laptop - Noise,7763.54,1,0.1,730.11
52,ORD-2021052,2022-11-03,2022-11-05,First Class,CUST-1052,Shray Dewan,Regular Buyer,India,Nagpur,Maharashtra,680423,East,PROD-3052,Sports & Fitness,Yoga Mat,Yoga Mat - Vector X,8958.45,4,0.05,1223.19
53,ORD-2021053,2022-02-09,2022-02-13,Second Class,CUST-1053,Manikya Lal,Bulk Buyer,India,Mysore,Karnataka,596720,North,PROD-3053,Sports & Fitness,Yoga Mat,Yoga Mat - Cosco,18684.34,2,0.0,1542.15
54,ORD-2021054,2022-01-11,2022-01-13,Same Day,CUST-1054,Zeeshan Zachariah,Regular Buyer,India,Indore,Madhya Pradesh,11080,South,PROD-3054,Sports & Fitness,Dumbbells,Dumbbells - SG,1469.61,4,0.0,196.17
55,ORD-2021055,2021-07-06,2021-07-07,First Class,CUST-1055,Rati Khosla,Regular Buyer,India,Kanpur,Uttar Pradesh,489252,West,PROD-3055,Fashion,T-Shirt,T-Shirt - Biba,15315.39,2,0.1,1725.63
56,ORD-2021056,2021-05-30,2021-05-31,First Class,CUST-1056,Rati Hayre,Bulk Buyer,India,Hubli,Karnataka,280545,South,PROD-3056,Electronics,Smartwatch,Smartwatch - Samsung,16208.44,1,0.1,-62.73
57,ORD-2021057,2021-12-21,2021-12-22,Same Day,CUST-1057,Ayesha Uppal,Regular Buyer,India,Ahmedabad,Gujarat,602920,South,PROD-3057,Electronics,Power Bank,Power Bank - Mi,29132.71,2,0.0,-877.4
58,ORD-2021058,2022-03-13,2022-03-15,Standard Class,CUST-1058,Reyansh Goyal,Bulk Buyer,India,Coimbatore,Tamil Nadu,308458,North,PROD-3058,Sports & Fitness,Dumbbells,Dumbbells - Vector X,16767.9,1,0.05,-2505.42
59,ORD-2021059,2021-11-10,2021-11-14,Second Class,CUST-1059,Heer Bhatnagar,Prime Member,India,Hubli,Karnataka,494730,East,PROD-3059,Fashion,Saree,Saree - Peter England,21563.42,3,0.1,2638.47
60,ORD-2021060,2021-06-27,2021-07-02,Second Class,CUST-1060,Hazel Chaudhary,Bulk Buyer,India,Coimbatore,Tamil Nadu,968012,North,PROD-3060,Home & Kitchen,Bedsheet,Bedsheet - Pigeon,1774.99,1,0.1,-22.47
61,ORD-2021061,2022-02-22,2022-02-27,Standard Class,CUST-1061,Tushar Madan,Regular Buyer,India,Udaipur,Rajasthan,831209,East,PROD-3061,Electronics,Laptop,Laptop - Realme,27021.01,4,0.0,4207.3
62,ORD-2021062,2021-02-26,2021-02-27,Second Class,CUST-1062,Hiran Barad,Prime Member,India,Bangalore,Karnataka,762162,North,PROD-3062,Books,Biography,Biography - Penguin India,24247.52,3,0.1,-537.51
63,ORD-2021063,2021-06-03,2021-06-07,Same Day,CUST-1063,Mamooty Boase,Prime Member,India,Hubli,Karnataka,233017,West,PROD-3063,Books,Children,Children - HarperCollins India,15088.93,1,0.2,1306.28
64,ORD-2021064,2022-12-02,2022-12-05,Standard Class,CUST-1064,Ranbir Borah,Regular Buyer,India,New Delhi,Delhi,492702,South,PROD-3064,Home & Kitchen,Mixer Grinder,Mixer Grinder - Pigeon,12944.1,4,0.1,827.87
65,ORD-2021065,2022-10-06,2022-10-08,Second Class,CUST-1065,Tiya Vig,Regular Buyer,India,Indore,Madhya Pradesh,202191,North,PROD-3065,Fashion,Shoes,Shoes - W for Woman,7737.2,1,0.2,-407.67
66,ORD-2021066,2021-02-25,2021-02-28,Same Day,CUST-1066,Kimaya Bala,Prime Member,India,Bangalore,Karnataka,429583,South,PROD-3066,Electronics,Laptop,Laptop - Mi,7114.86,2,0.2,852.39
67,ORD-2021067,2023-03-24,2023-03-26,Standard Class,CUST-1067,Kiaan Gill,Regular Buyer,India,Kanpur,Uttar Pradesh,525761,West,PROD-3067,Sports & Fitness,Cricket Bat,Cricket Bat - HRX,21677.18,4,0.05,2955.74
68,ORD-2021068,2022-07-05,2022-07-11,First Class,CUST-1068,Sara Dua,Prime Member,India,New Delhi,Delhi,926567,East,PROD-3068,Home & Kitchen,Storage Box,Storage Box - Prestige,15963.02,4,0.1,-156.84
69,ORD-2021069,2021-03-25,2021-03-29,First Class,CUST-1069,Oorja Barad,Prime Member,India,Lucknow,Uttar Pradesh,897222,West,PROD-3069,Electronics,Earphones,Earphones - Mi,11910.44,3,0.1,1536.24
70,ORD-2021070,2021-06-22,2021-06-26,Second Class,CUST-1070,Lavanya Sahota,Prime Member,India,Hubli,Karnataka,329806,West,PROD-3070,Fashion,Jeans,Jeans - Pantaloons,12757.95,4,0.1,-540.46
71,ORD-2021071,2023-06-16,2023-06-22,Second Class,CUST-1071,Faiyaz Swamy,Prime Member,India,Hubli,Karnataka,525045,South,PROD-3071,Beauty & Personal Care,Face Wash,Face Wash - Patanjali,11496.93,4,0.05,1244.92
72,ORD-2021072,2021-10-13,2021-10-18,Standard Class,CUST-1072,Manikya Mani,Prime Member,India,Bangalore,Karnataka,487152,East,PROD-3072,Books,Children,Children - Scholastic India,12926.76,4,0.1,118.46
73,ORD-2021073,2023-06-09,2023-06-12,Same Day,CUST-1073,Kanav Kalla,Prime Member,India,New Delhi,Delhi,314940,East,PROD-3073,Fashion,Saree,Saree - W for Woman,24060.64,2,0.05,-788.39
74,ORD-2021074,2022-05-16,2022-05-22,First Class,CUST-1074,Mohanlal Chakraborty,Bulk Buyer,India,Bhopal,Madhya Pradesh,672546,South,PROD-3074,Beauty & Personal Care,Face Wash,Face Wash - Dabur,25779.0,3,0.2,631.76
75,ORD-2021075,2021-05-28,2021-06-03,Same Day,CUST-1075,Samaira Bera,Prime Member,India,Mysore,Karnataka,524537,North,PROD-3075,Fashion,Jeans,Jeans - Pantaloons,16987.14,3,0.1,-810.31
76,ORD-2021076,2021-10-21,2021-10-22,First Class,CUST-1076,Ranbir Bobal,Bulk Buyer,India,Madurai,Tamil Nadu,281158,East,PROD-3076,Electronics,Smartphone,Smartphone - Mi,26043.53,2,0.0,972.33
77,ORD-2021077,2021-12-27,2021-12-28,Second Class,CUST-1077,Ehsaan Chada,Regular Buyer,India,Lucknow,Uttar Pradesh,306756,West,PROD-3077,Books,Comics,Comics - Rupa Publications,9152.37,4,0.1,324.04
78,ORD-2021078,2021-07-22,2021-07-25,Same Day,CUST-1078,Bhamini Ravi,Bulk Buyer,India,Mysore,Karnataka,649277,North,PROD-3078,Sports & Fitness,Cricket Bat,Cricket Bat - Vector X,3398.14,3,0.0,302.59
79,ORD-2021079,2022-10-15,2022-10-17,Second Class,CUST-1079,Damini Ranganathan,Prime Member,India,Hyderabad,Telangana,968474,North,PROD-3079,Fashion,Kurtis,Kurtis - FabIndia,12049.6,4,0.0,1075.01
80,ORD-2021080,2021-11-12,2021-11-17,Same Day,CUST-1080,Reyansh Taneja,Prime Member,India,Howrah,West Bengal,337126,West,PROD-3080,Home & Kitchen,Storage Box,Storage Box - Pigeon,4622.16,3,0.2,150.08
81,ORD-2021081,2023-05-30,2023-06-05,Second Class,CUST-1081,Inaaya  Issac,Prime Member,India,Ahmedabad,Gujarat,191214,East,PROD-3081,Electronics,Power Bank,Power Bank - OnePlus,13809.1,1,0.05,1583.97
82,ORD-2021082,2022-07-22,2022-07-23,Standard Class,CUST-1082,Alisha Sangha,Prime Member,India,New Delhi,Delhi,976690,North,PROD-3082,Electronics,Power Bank,Power Bank - Mi,670.31,4,0.2,-51.81
83,ORD-2021083,2021-06-08,2021-06-12,Standard Class,CUST-1083,Uthkarsh Sangha,Regular Buyer,India,Indore,Madhya Pradesh,537103,East,PROD-3083,Sports & Fitness,Yoga Mat,Yoga Mat - Cosco,9854.51,3,0.1,1406.35
84,ORD-2021084,2021-09-16,2021-09-19,Second Class,CUST-1084,Nirvi Khare,Bulk Buyer,India,Lucknow,Uttar Pradesh,381070,North,PROD-3084,Beauty & Personal Care,Perfume,Perfume - Dabur,25816.12,2,0.05,3106.7
85,ORD-2021085,2022-08-15,2022-08-18,Standard Class,CUST-1085,Amani Arora,Bulk Buyer,India,Bangalore,Karnataka,773477,North,PROD-3085,Books,Biography,Biography - Rupa Publications,26941.37,4,0.05,3723.54
86,ORD-2021086,2021-11-12,2021-11-17,Same Day,CUST-1086,Kiara Bail,Regular Buyer,India,Hyderabad,Telangana,408864,North,PROD-3086,Home & Kitchen,Cookware Set,Cookware Set - Borosil,29475.26,2,0.05,-1266.56
87,ORD-2021087,2022-07-31,2022-08-04,Same Day,CUST-1087,Kashvi Krishnan,Bulk Buyer,India,Udaipur,Rajasthan,982718,West,PROD-3087,Fashion,Shoes,Shoes - Pantaloons,421.62,1,0.2,-24.69
88,ORD-2021088,2021-12-25,2021-12-28,First Class,CUST-1088,Riya Halder,Bulk Buyer,India,Hyderabad,Telangana,113919,West,PROD-3088,Fashion,Shoes,Shoes - FabIndia,18807.55,1,0.0,2365.82
89,ORD-2021089,2022-05-26,2022-05-30,Second Class,CUST-1089,Emir Raman,Prime Member,India,Kanpur,Uttar Pradesh,649260,East,PROD-3089,Electronics,Laptop,Laptop - Samsung,25870.87,2,0.0,916.42
90,ORD-2021090,2023-03-12,2023-03-18,First Class,CUST-1090,Onkar Shankar,Bulk Buyer,India,Surat,Gujarat,996818,West,PROD-3090,Sports & Fitness,Tennis Racquet,Tennis Racquet - HRX,13385.27,1,0.0,1616.43
91,ORD-2021091,2021-07-11,2021-07-13,Standard Class,CUST-1091,Samiha Bhavsar,Bulk Buyer,India,Jaipur,Rajasthan,934311,South,PROD-3091,Fashion,Kurtis,Kurtis - Max,24711.41,4,0.1,-147.87
92,ORD-2021092,2022-05-02,2022-05-05,First Class,CUST-1092,Kaira Mammen,Bulk Buyer,India,New Delhi,Delhi,423297,West,PROD-3092,Beauty & Personal Care,Shampoo,Shampoo - Himalaya,5816.92,4,0.0,-32.1
93,ORD-2021093,2022-07-29,2022-07-31,Second Class,CUST-1093,Madhav Wali,Prime Member,India,Indore,Madhya Pradesh,726453,North,PROD-3093,Electronics,Smartphone,Smartphone - Samsung,19676.6,1,0.1,-192.66
94,ORD-2021094,2023-05-06,2023-05-07,First Class,CUST-1094,Anya Setty,Bulk Buyer,India,Bangalore,Karnataka,11904,South,PROD-3094,Fashion,Kurtis,Kurtis - FabIndia,6239.24,4,0.05,867.28
95,ORD-2021095,2021-04-21,2021-04-25,Second Class,CUST-1095,Miraan Deshpande,Regular Buyer,India,Hubli,Karnataka,822661,South,PROD-3095,Books,Fiction,Fiction - S Chand,26962.12,4,0.2,-1995.15
96,ORD-2021096,2021-12-25,2021-12-31,First Class,CUST-1096,Mannat Bhatnagar,Regular Buyer,India,Hyderabad,Telangana,123898,West,PROD-3096,Home & Kitchen,Cookware Set,Cookware Set - Prestige,20970.1,3,0.05,1618.78
97,ORD-2021097,2021-10-14,2021-10-16,First Class,CUST-1097,Miraan Kata,Prime Member,India,Coimbatore,Tamil Nadu,98674,North,PROD-3097,Beauty & Personal Care,Face Wash,Face Wash - Dabur,18973.84,2,0.1,1198.99
98,ORD-2021098,2021-08-07,2021-08-13,Standard Class,CUST-1098,Yasmin Rout,Regular Buyer,India,Ahmedabad,Gujarat,431125,North,PROD-3098,Beauty & Personal Care,Lipstick,Lipstick - Dabur,24181.04,1,0.05,5254.16
99,ORD-2021099,2022-05-05,2022-05-09,Standard Class,CUST-1099,Ojas Swaminathan,Prime Member,India,Kanpur,Uttar Pradesh,311347,East,PROD-3099,Home & Kitchen,Cookware Set,Cookware Set - Cello,27501.43,4,0.1,-95.82
100,ORD-2021100,2021-10-19,2021-10-22,Second Class,CUST-1100,Mehul Wable,Prime Member,India,Hyderabad,Telangana,514329,East,PROD-3100,Sports & Fitness,Football,Football - Cosco,14032.43,4,0.05,1544.26
101,ORD-2021101,2023-01-18,2023-01-24,Same Day,CUST-1101,Prerak Shenoy,Bulk Buyer,India,Kolkata,West Bengal,983180,South,PROD-3101,Fashion,Kurtis,Kurtis - Biba,7627.76,3,0.05,538.73
102,ORD-2021102,2021-11-12,2021-11-17,Same Day,CUST-1102,Ojas Dora,Prime Member,India,Surat,Gujarat,464084,West,PROD-3102,Fashion,T-Shirt,T-Shirt - Biba,26890.63,4,0.1,386.4
103,ORD-2021103,2021-12-29,2021-12-30,First Class,CUST-1103,Taimur Dani,Regular Buyer,India,Bhopal,Madhya Pradesh,469928,West,PROD-3103,Fashion,Jeans,Jeans - Biba,21220.52,4,0.0,245.93
104,ORD-2021104,2022-10-20,2022-10-22,Second Class,CUST-1104,Gokul Ram,Regular Buyer,India,Mumbai,Maharashtra,485450,West,PROD-3104,Sports & Fitness,Yoga Mat,Yoga Mat - SG,6830.66,1,0.1,230.51
105,ORD-2021105,2023-03-22,2023-03-23,First Class,CUST-1105,Oorja Bhalla,Bulk Buyer,India,Hubli,Karnataka,265588,South,PROD-3105,Books,Children,Children - Penguin India,16064.62,3,0.05,456.36
106,ORD-2021106,2022-04-29,2022-05-03,Standard Class,CUST-1106,Pari Sami,Bulk Buyer,India,Udaipur,Rajasthan,220091,East,PROD-3106,Beauty & Personal Care,Face Wash,Face Wash - Patanjali,17946.91,3,0.0,3299.68
107,ORD-2021107,2023-06-11,2023-06-13,Standard Class,CUST-1107,Gatik Brar,Regular Buyer,India,Ahmedabad,Gujarat,474216,West,PROD-3107,Electronics,Power Bank,Power Bank - Noise,8451.13,1,0.0,-163.26
108,ORD-2021108,2023-03-13,2023-03-14,Same Day,CUST-1108,Baiju Dube,Bulk Buyer,India,Howrah,West Bengal,787993,North,PROD-3108,Beauty & Personal Care,Moisturizer,Moisturizer - Lakme,28496.93,3,0.05,-139.57
109,ORD-2021109,2022-11-14,2022-11-15,Second Class,CUST-1109,Navya Chokshi,Bulk Buyer,India,Howrah,West Bengal,71525,West,PROD-3109,Home & Kitchen,Mixer Grinder,Mixer Grinder - Borosil,12022.36,4,0.2,-732.87
110,ORD-2021110,2021-03-29,2021-04-03,Second Class,CUST-1110,Kavya Chatterjee,Regular Buyer,India,Bangalore,Karnataka,571656,East,PROD-3110,Electronics,Smartphone,Smartphone - Realme,13933.46,4,0.0,-456.45
111,ORD-2021111,2021-01-13,2021-01-18,First Class,CUST-1111,Vanya Mall,Regular Buyer,India,Nagpur,Maharashtra,530369,North,PROD-3111,Fashion,Kurtis,Kurtis - W for Woman,25620.02,1,0.1,-1741.53
112,ORD-2021112,2021-08-20,2021-08-21,Second Class,CUST-1112,Gatik Dhar,Prime Member,India,Hubli,Karnataka,452854,North,PROD-3112,Home & Kitchen,Bedsheet,Bedsheet - Milton,22474.9,4,0.1,-957.27
113,ORD-2021113,2022-08-17,2022-08-19,First Class,CUST-1113,Riya Salvi,Regular Buyer,India,New Delhi,Delhi,291230,South,PROD-3113,Books,Children,Children - Scholastic India,4636.98,4,0.05,313.91
114,ORD-2021114,2021-04-22,2021-04-24,Standard Class,CUST-1114,Vritika Dhawan,Prime Member,India,New Delhi,Delhi,935558,East,PROD-3114,Sports & Fitness,Yoga Mat,Yoga Mat - SS,10917.26,2,0.1,-779.78
115,ORD-2021115,2021-07-27,2021-07-28,Standard Class,CUST-1115,Riya Bakshi,Bulk Buyer,India,Madurai,Tamil Nadu,692378,South,PROD-3115,Sports & Fitness,Dumbbells,Dumbbells - Nivia,25940.0,1,0.2,-1585.1
116,ORD-2021116,2022-01-31,2022-02-01,Standard Class,CUST-1116,Raghav Bhakta,Regular Buyer,India,Bhopal,Madhya Pradesh,567964,West,PROD-3116,Electronics,Smartwatch,Smartwatch - Realme,5874.03,2,0.05,438.52
